project,function,outcome,original_signature,llm_signature
mibench_bitcount,bfread,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn bfread(mut bf: *mut bfile) -> core::ffi::c_int","#[no_mangle]
pub fn bfread(bf_ptr: *mut SafeBfile) -> i32"
mibench_bitcount,bfread,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn bfread(mut bf: *mut bfile) -> core::ffi::c_int","#[no_mangle]
pub fn bfread(mut bf: &mut Safefile) -> i32"
mibench_bitcount,bfread,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn bfread(mut bf: *mut bfile) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn bfread(bf: &mut Safefile) -> core::ffi::c_int"
mibench_bitcount,bit_shifter,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn bit_shifter(mut x: core::ffi::c_long) -> core::ffi::c_int","#[allow(non_snake_case)]
pub unsafe extern ""C"" fn bit_shifter(mut x: core::ffi::c_long) -> core::ffi::c_int"
mibench_bitcount,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int",pub fn main_0(argv: &[&str]) -> i32
mibench_bitcount,ntbl_bitcnt,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn ntbl_bitcnt(mut x: core::ffi::c_long) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn ntbl_bitcnt(x: *mut core::ffi::c_long) -> core::ffi::c_int"
mibench_qsort_small,compare,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn compare(
    mut elem1: *const core::ffi::c_void,
    mut elem2: *const core::ffi::c_void,
) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn compare(
    elem1: *mut myStringStruct,
    elem2: *mut myStringStruct,
) -> core::ffi::c_int"
mibench_qsort_small,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub fn main_0(argc: core::ffi::c_int, argv: &mut [&mut *const core::ffi::c_char]) -> core::ffi::c_int"
mibench_qsort_small,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub unsafe extern ""C"" fn main_0(argc: core::ffi::c_int, argv: *const *mut core::ffi::c_char) -> core::ffi::c_int"
mibench_dijkstra,dequeue,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn dequeue(
    mut piNode: *mut core::ffi::c_int,
    mut piDist: *mut core::ffi::c_int,
    mut piPrev: *mut core::ffi::c_int,
)","#[no_mangle]
pub unsafe extern ""C"" fn dequeue(
    piNode: &mut core::ffi::c_int, 
    piDist: &mut core::ffi::c_int, 
    piPrev: &mut core::ffi::c_int
)"
mibench_dijkstra,dequeue,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn dequeue(
    mut piNode: *mut core::ffi::c_int,
    mut piDist: *mut core::ffi::c_int,
    mut piPrev: *mut core::ffi::c_int,
)","#[no_mangle]
pub unsafe extern ""C"" fn dequeue(
    piNode: &mut core::ffi::c_int,
    piDist: &mut core::ffi::c_int,
    piPrev: &mut core::ffi::c_int,
)"
mibench_dijkstra,print_path,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn print_path(
    mut rgnNodes_0: *mut NODE,
    mut chNode: core::ffi::c_int,
)","#[no_mangle]
pub unsafe extern ""C"" fn print_path(rgnNodes: *mut SafeNode, chNode: i32)"
mibench_dijkstra,dijkstra,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn dijkstra(
    mut chStart: core::ffi::c_int,
    mut chEnd: core::ffi::c_int,
) -> core::ffi::c_int","#[no_mangle]
pub unsafe extern ""C"" fn dijkstra(chStart: i32, chEnd: i32) -> i32"
mibench_dijkstra,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub unsafe extern ""C"" fn main_0(argc: core::ffi::c_int, argv: *const *const core::ffi::c_char) -> core::ffi::c_int"
mibench_dijkstra,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub unsafe extern ""C"" fn main_0(argc: core::ffi::c_int, argv: *mut *const core::ffi::c_char) -> core::ffi::c_int"
mibench_dijkstra,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub unsafe extern ""C"" fn main_0(argc: core::ffi::c_int, argv: **const core::ffi::c_char) -> core::ffi::c_int"
mibench_patricia,insertR,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn insertR(
    mut h: *mut ptree,
    mut n: *mut ptree,
    mut d: core::ffi::c_int,
    mut p: *mut ptree,
) -> *mut ptree","extern ""C"" fn insertR(h: *mut ptree, n: *mut ptree, d: i32, p: *mut ptree) -> *mut ptree"
mibench_patricia,insertR,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn insertR(
    mut h: *mut ptree,
    mut n: *mut ptree,
    mut d: core::ffi::c_int,
    mut p: *mut ptree,
) -> *mut ptree","pub fn insertR(mut h: &mut SafePtree, mut n: &mut SafePtree, d: i32, p: &mut SafePtree) -> Box<SafePtree>"
mibench_patricia,insertR,REVERTED_SIG_DRIFT,"unsafe extern ""C"" fn insertR(
    mut h: *mut ptree,
    mut n: *mut ptree,
    mut d: core::ffi::c_int,
    mut p: *mut ptree,
) -> *mut ptree","pub unsafe extern ""C"" fn insertR(
    h_ptr: *mut ptree,
    n_ptr: *mut ptree,
    d: core::ffi::c_int,
    p_ptr: *mut ptree,
) -> &mut SafePtree"
mibench_patricia,pat_remove,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn pat_remove(
    mut n: *mut ptree,
    mut head: *mut ptree,
) -> core::ffi::c_int",fn is_null(&self) -> bool
mibench_stringsearch,bmh_init,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn bmh_init(mut pattern: *const core::ffi::c_char)","#[no_mangle]
pub extern ""C"" fn bmh_init(pattern: &'static core::ffi::c_char)"
mibench_stringsearch,bmhi_init,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn bmhi_init(mut pattern: *const core::ffi::c_char)","pub unsafe extern ""C"" fn bmhi_init(pattern: &mut CStr)"
mibench_sha,byte_reverse,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn byte_reverse(
    mut buffer: *mut LONG,
    mut count: core::ffi::c_int,
)","#[no_mangle]
pub fn byte_reverse(mut buffer: &mut [LONG]) -> Vec<LONG>"
mibench_sha,sha_transform,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_transform(mut sha_info: *mut SHA_INFO)","#[no_mangle]
pub unsafe extern ""C"" fn sha_transform(sha_info_ptr: *mut SafeSHA_INFO)"
mibench_sha,sha_final,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_final(mut sha_info: *mut SHA_INFO)","#[no_mangle]
pub extern ""C"" fn sha_final(sha_info: &mut SafeSHA_INFO)"
mibench_sha,sha_final,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_final(mut sha_info: *mut SHA_INFO)","#[no_mangle]
pub unsafe extern ""C"" fn sha_final(sha_info: &mut SafeSHA_INFO)"
mibench_sha,sha_update,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_update(
    mut sha_info: *mut SHA_INFO,
    mut buffer: *mut BYTE,
    mut count: core::ffi::c_int,
)","#[no_mangle]
pub unsafe extern ""C"" fn sha_update(
    mut sha_info: *mut SafeSHA_INFO,
    mut buffer: *mut u8,
    count: i32,
)"
mibench_sha,sha_update,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_update(
    mut sha_info: *mut SHA_INFO,
    mut buffer: *mut BYTE,
    mut count: core::ffi::c_int,
)","#[no_mangle]
pub unsafe extern ""C"" fn sha_update(sha_info: *mut SafeSHA_INFO, buffer: *mut BYTE, count: i32)"
mibench_sha,sha_update,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_update(
    mut sha_info: *mut SHA_INFO,
    mut buffer: *mut BYTE,
    mut count: core::ffi::c_int,
)","#[no_mangle]
pub unsafe extern ""C"" fn sha_update(sha_info: &mut SafeSHA_INFO, buffer: *mut BYTE, count: core::ffi::c_int)"
mibench_sha,sha_stream,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_stream(mut sha_info: *mut SHA_INFO, mut fin: *mut FILE)","pub unsafe extern ""C"" fn sha_stream(mut sha_info: *mut SafeSHA_INFO, mut fin: *mut FILE)"
mibench_sha,sha_stream,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_stream(mut sha_info: *mut SHA_INFO, mut fin: *mut FILE)","#[no_mangle]
pub unsafe extern ""C"" fn sha_stream(sha_info: *mut SafeSHA_INFO, fin: *mut FILE)"
mibench_sha,sha_stream,REVERTED_SIG_DRIFT,"#[no_mangle]
pub unsafe extern ""C"" fn sha_stream(mut sha_info: *mut SHA_INFO, mut fin: *mut FILE)","#[no_mangle]
pub unsafe extern ""C"" fn sha_stream(mut sha_info: *mut SafeSHA_INFO, mut fin: *mut FILE)"
mibench_sha,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub unsafe extern ""C"" fn main_0(argc: i32, argv:  *mut *const core::ffi::c_char) -> i32"
mibench_sha,main_0,REVERTED_SIG_DRIFT,"pub unsafe fn main_0(
    mut argc: core::ffi::c_int,
    mut argv: *mut *mut core::ffi::c_char,
) -> core::ffi::c_int","pub unsafe extern ""C"" fn main_0(argc: core::ffi::c_int, argv: *const *mut core::ffi::c_char) -> core::ffi::c_int"
